"Tinycon","Tinycon"
"Enable","Aktiviert"
"Width","Breite"
"Height","Höhe"
"Font-Size","Schriftgröße"
"Font-Face","Schriftart"
"Font-Color","Schriftfarbe"
"Background-Color","Hintergrundfarbe"
"Use Fallback","Fallback verwenden"
"Default: 7","Standard: 7"
"Default: 9","Standard: 9"
"Default: 10px","Standard: 10px"
"Yes","Ja"
"No","Nein"
"Force","Erzwingen"
"Abbreviate long numbers","Große Zahlen abkürzen"
"Shrink large numbers to an abbreviated version (i.e. 1000 => 1k)","Große Zahlen abkürzen (z.B. 1000 => 1k)"
"Show a number in brackets preceding the title for browsers that don't support canvas/dynamic favicons","In Browsern ohne Canvas/dynamische Favicons dem Titel eine Zahl in Klammern voranstellen"